,Job_Title,Company_Name,Location,Salary,Job_Summary
0,Maths Teacher,"
Sprintal Business Consulations","Chandigarh, Chandigarh","
₹25,000 - ₹50,000 a month","Maths Teacher
Sprintal Business Consulations
Chandigarh, Chandigarh
₹25,000 - ₹50,000 a month
1+ years experience
Job Summary
You will be handling a team quality team of content developers
Will be responsible for designing and developing Mathematics and content for a learning program for children.
Responsibilities and Duties
Conducting research on curriculum and student misconceptions
Working with teachers and testing high- quality learning material.
Supervision of work of team
Allocation of work with time deadlines and responsibility for completion of work with targets
Key Skills
Show evidence of intelligence and creativity, Fluent in spoken and written English, Computer Literate, Experience of working with children and doing design work is an added advantage
Required Experience and Qualifications
Post Graduate (M.Sc in Mathematics)
1-5 Yrs Experience
Job Type: Full-time
Salary: ₹25,000.00 to ₹50,000.00 /month
Experience:
Mathematics teaching: 1 year (Required)
10th, 11th and 12th teaching: 1 year (Required)
Education:
Master's (Required)
Location:
Mohali, Punjab (Required)
Language:
English (Required)
Industry:
Education & Instruction
- 13 days ago - save jobIs there a problem with this job?
Apply Now
Mathematics Teacher jobs in Chandigarh, Chandigarh
Jobs at Sprintal Business Consulations in Chandigarh, Chandigarh
Mathematics Teacher salaries in Chandigarh, Chandigarh"
1,Chemistry Teacher,"
Sprintal Business Consulations","Chandigarh, Chandigarh","
₹25,000 - ₹50,000 a month","Chemistry Teacher
Sprintal Business Consulations
Chandigarh, Chandigarh
₹25,000 - ₹50,000 a month
1+ years experience
Job Summary
You will be handling a team quality team of content developers
Will be responsible for designing and developing Science content for a learning program for children.
Responsibilities and Duties
Conducting research on curriculum and student misconceptions
Working with teachers and testing high- quality learning material.
Supervision of work of team
Allocation of work with time deadlines and responsibility for completion of work with targets
Key Skills
Show evidence of intelligence and creativity, Fluent in spoken and written English, Computer Literate, Experience of working with children and doing design work is an added advantage
Required Experience and Qualifications
Post Graduate (M.Sc in Chemistry)
1-5 years of experience.
Job Type: Full-time
Salary: ₹25,000.00 to ₹50,000.00 /month
Experience:
10th, 11th and 12th standard teaching: 1 year (Required)
Chemistry Teaching: 1 year (Required)
Education:
Master's (Required)
Location:
Chandigarh, Chandigarh (Required)
Language:
English (Required)
Industry:
Education & Instruction
- 14 days ago - save jobIs there a problem with this job?
Apply Now
Teacher jobs in Chandigarh, Chandigarh
Jobs at Sprintal Business Consulations in Chandigarh, Chandigarh
Teacher salaries in Chandigarh, Chandigarh"
2,Computer Faculty,"
H T S P L","Mohali Sas Nagar, Chandigarh","
₹14,000 - ₹16,500 a month","Computer Faculty
H T S P L
Mohali Sas Nagar, Chandigarh
₹14,000 - ₹16,500 a month
Job Summary
Dear job seekers we are looking for COMPUTER FACULTY staff to handle office files work
Male female will be preferred
Freshers and experienced can apply
Job location here will be chandigarh only
Interested candidates can reach us on
7529857827
Responsibilities and Duties
Hiring, training and developing new employees.
2. Resolving customer issues to their overall satisfaction.
3. Maintaining an overall management style that follows company best practices.
4. Ensuring product quality and availability.
5. Preparing and presenting employee reviews.
6. Overseeing all office inventory.
Job Type: Full-time
Salary: ₹14,000.00 to ₹16,500.00 /month
Experience:
Teaching: 1 year (Preferred)
total work: 1 year (Preferred)
Making lesson Plans: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Language:
English (Preferred)
Industry:
Administrative Assistance
Speak with the employer
+91 7529857827
- 1 day ago - save jobIs there a problem with this job?
Apply Now
Faculty jobs in Mohali Sas Nagar, Chandigarh
Faculty salaries in Mohali Sas Nagar, Chandigarh"
